simulation_package/melt/data_generation/outputs/eps_18/rep_009/msd_trajectory.gsd: 1531.551596 tau_R^0 (frames=6191, first_step=11400000, last_step=1249200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_009/trajectory.gsd: 1531.551596 tau_R^0 (frames=6191, first_step=11400000, last_step=1249200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_009/virial_tensor_log.gsd: 1531.749567 tau_R^0 (frames=247648, first_step=11205000, last_step=1249165000)
simulation_package/melt/data_generation/outputs/eps_18/rep_010/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1222200000, last_step=1222200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_010/msd_trajectory.gsd: 1498.144024 tau_R^0 (frames=6055, first_step=11400000, last_step=1222200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_010/trajectory.gsd: 1498.144024 tau_R^0 (frames=6055, first_step=11400000, last_step=1222200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_010/virial_tensor_log.gsd: 1498.360554 tau_R^0 (frames=242182, first_step=11205000, last_step=1222180000)
simulation_package/melt/data_generation/outputs/eps_6/rep_001/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1823200000, last_step=1823200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_001/msd_trajectory.gsd: 2241.771839 tau_R^0 (frames=9060, first_step=11400000, last_step=1823200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_001/trajectory.gsd: 2241.771839 tau_R^0 (frames=9060, first_step=11400000, last_step=1823200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_001/virial_tensor_log.gsd: 2241.969809 tau_R^0 (frames=362358, first_step=11205000, last_step=1823165000)
simulation_package/melt/data_generation/outputs/eps_6/rep_002/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1566200000, last_step=1566200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_002/msd_trajectory.gsd: 1923.781242 tau_R^0 (frames=7775, first_step=11400000, last_step=1566200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_002/trajectory.gsd: 1923.781242 tau_R^0 (frames=7775, first_step=11400000, last_step=1566200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_002/virial_tensor_log.gsd: 1923.979213 tau_R^0 (frames=310999, first_step=11205000, last_step=1566165000)
simulation_package/melt/data_generation/outputs/eps_6/rep_003/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1562200000, last_step=1562200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_003/msd_trajectory.gsd: 1918.831972 tau_R^0 (frames=7757, first_step=11400000, last_step=1562200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_003/trajectory.gsd: 1918.831972 tau_R^0 (frames=7757, first_step=11400000, last_step=1562200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_003/virial_tensor_log.gsd: 1919.029943 tau_R^0 (frames=310280, first_step=11205000, last_step=1562165000)
simulation_package/melt/data_generation/outputs/eps_6/rep_004/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1820200000, last_step=1820200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_004/msd_trajectory.gsd: 2238.059886 tau_R^0 (frames=9045, first_step=11400000, last_step=1820200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_004/trajectory.gsd: 2238.059886 tau_R^0 (frames=9045, first_step=11400000, last_step=1820200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_004/virial_tensor_log.gsd: 2238.301163 tau_R^0 (frames=361765, first_step=11205000, last_step=1820200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_005/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1824200000, last_step=1824200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_005/msd_trajectory.gsd: 2243.009156 tau_R^0 (frames=9065, first_step=11400000, last_step=1824200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_005/trajectory.gsd: 2243.009156 tau_R^0 (frames=9065, first_step=11400000, last_step=1824200000)
simulation_package/melt/data_generation/outputs/eps_6/rep_005/virial_tensor_log.gsd: 2243.207127 tau_R^0 (frames=362561, first_step=11205000, last_step=1824165000)
